차종	도착시간(H:M:S)	일보는시간(s)
코튼	20:46:03	982
마라톤	19:10:46	3075
버스트	6:55:04	9786
코튼	12:10:48	4001
솔리드	16:29:12	9131
코튼	16:59:36	6913
솔리드	16:56:42	2819
코튼	19:01:14	8142
마라톤	17:47:42	1065
마라톤	22:16:03	356
솔리드	12:51:06	6722
솔리드	11:04:30	24328
솔리드	12:15:01	16853
마라톤	7:20:28	23676
코튼	15:23:39	15868
세이버	12:18:17	24506
마라톤	7:01:26	13233
세이버	21:48:33	51
코튼	18:39:27	7210
버스트	16:28:12	6041
코튼	14:03:47	19657
마라톤	21:44:21	707
마라톤	13:13:09	15821
코튼	21:28:36	2442
솔리드	19:57:02	1012
솔리드	19:04:42	5429
코튼	12:49:26	1433
코튼	15:15:56	15748
세이버	14:05:48	20485
마라톤	13:52:05	5038
솔리드	21:36:04	209
마라톤	14:38:51	10718
솔리드	21:43:54	1048
세이버	18:47:57	3756
세이버	10:42:56	24230
마라톤	16:41:54	9953
버스트	15:30:43	3587
솔리드	14:38:55	4352
코튼	15:04:48	5851
솔리드	6:38:01	22521
세이버	10:19:07	17685
마라톤	10:28:21	27810
버스트	8:02:14	4279
마라톤	7:39:03	5166
세이버	21:51:38	1157
마라톤	21:12:18	1419
마라톤	12:11:55	4928
솔리드	15:46:45	6560
버스트	9:22:41	6092
마라톤	18:20:04	2315
세이버	22:06:34	227
버스트	14:45:35	4728
세이버	8:58:20	21389
버스트	22:02:46	865
솔리드	20:24:12	3514
버스트	7:18:11	34362
마라톤	16:41:50	6308
마라톤	14:12:25	4517
코튼	10:50:51	17728
코튼	20:48:34	320
버스트	13:15:04	20767
버스트	22:05:49	366
마라톤	21:52:16	1380
솔리드	13:24:56	11291
마라톤	12:32:10	18401
버스트	20:40:24	3506
솔리드	10:05:01	29995
버스트	20:24:18	3330
마라톤	10:28:40	2964
마라톤	17:00:21	7050
세이버	14:26:42	7536
버스트	8:13:23	12944
마라톤	21:43:27	705
버스트	10:36:33	28605
마라톤	18:45:24	2552
코튼	7:49:03	1107
버스트	12:36:26	8724
버스트	7:12:19	7135
솔리드	15:29:55	15776
세이버	9:14:50	23892
버스트	8:54:06	26297
솔리드	22:18:35	445
세이버	7:40:28	17169
버스트	11:09:27	21778
마라톤	19:14:02	6637
세이버	11:29:11	11429
세이버	13:40:39	21287
세이버	22:16:03	173
솔리드	9:27:32	5562
코튼	17:38:05	434
버스트	13:21:50	10647
버스트	11:44:51	1540
세이버	21:49:35	19
코튼	9:38:47	12143
버스트	9:17:10	1026
솔리드	10:08:06	19134
코튼	18:40:45	2751
마라톤	12:59:02	16830
솔리드	18:42:21	1060
세이버	11:55:18	16342
마라톤	12:13:07	2507
세이버	18:42:50	1090
버스트	17:40:11	11543
마라톤	15:09:23	10675
마라톤	13:48:34	5365
코튼	7:42:05	18409
세이버	17:48:15	4617
솔리드	16:12:05	12211
코튼	20:27:11	333
세이버	16:54:59	8540
버스트	16:54:24	8778
버스트	7:50:07	2691
코튼	21:26:41	1687
코튼	19:27:37	5932
코튼	18:49:27	5077
버스트	15:46:55	9496
세이버	14:32:15	14970
세이버	11:01:48	4779
마라톤	15:24:46	2163
버스트	18:48:03	2526
솔리드	19:34:17	1183
코튼	19:47:49	5070
코튼	21:28:37	419
버스트	13:18:00	7368
버스트	8:36:20	28453
마라톤	10:00:01	20011
버스트	20:58:54	3683
버스트	18:14:44	3185
마라톤	19:48:22	2172
마라톤	19:37:17	1606
코튼	15:21:42	9444
세이버	10:20:39	30222
코튼	13:49:22	1527
세이버	19:54:03	4187
마라톤	13:30:58	19006
코튼	11:25:37	23671
버스트	15:42:04	1959
솔리드	16:08:27	10496
코튼	15:50:01	9964
세이버	18:19:14	3372
코튼	9:34:40	4660
마라톤	16:41:19	4830
마라톤	17:10:10	312
마라톤	16:49:58	8789
마라톤	15:55:03	9360
솔리드	7:00:55	7375
코튼	18:45:58	2485
솔리드	7:44:07	11945
세이버	11:31:54	9876
코튼	21:42:05	1639
세이버	13:06:09	18130
솔리드	12:54:57	14155
버스트	20:03:39	2887
코튼	14:14:19	15219
세이버	14:43:17	18090
코튼	16:05:18	7597
